NAMES,REVIEWS,RATING
Akshay Gharge,"

  Nice TV with Android 9 out of the box.Netflix,Hot star & YouTube are working fine, however struggling with Amazon prime... Able To cast however the inbuilt app doesn't work. Awesome Display with good brightness and clarity. Placed as second TV in bedroom and it has very nice stereo speakers with awesome sound and watching movies was fun with clear dialogues. First VU TV and its very impressive. As Usual amazon is the best when it comes to delivery and products.Box contains wall mount as well as stand. The Display panel is what impress me the most. The panel used is definately of high grade with awesome clarity.Let's see how VU perform in long run.

",5.0 out of 5 stars
Mourya,"

  Firstly the installation team sucks. No one came for installation until 4 days after the delivery. I would give zero stars for installation.The product is amazing, it's pure androidTV and like everyone else,i too got trouble with Amazon prime video. I just called VU support and their executive came to my home and upated the tv software. Now prime video is working perfectly fine.Inbuilt Chromecast, Bluetooth and all other features are working well.Overall a good value for money.

",5.0 out of 5 stars
Hitesh Bhagat,"

  Gorgeous display, and sound quality is amazing too, but a proper soundbar or speakers should be purchased with this.initially was somewhat let down with the picture quality but putting some time in the settings menu and tweaking in the picture settings, the picture quality now looks absolute amazing, have completely cut off the cable and use streaming services to watch content here. installed many streaming apps like zee5 netflix amazon prime eros now, loving it.brought 43 inch and 32 inch for  my bedroom and office. best purchase decision.Did not had any problem while setting up Amazon Prime whatsoever.my advice go for it, play with picture quality settings a bit to get your desired results. and yes, if you plan to use the smart features of tv then get a proper broadband connection, initial setup takes time and there would a very important day one OTA update. make sure you have proper internet, otherwise experience could frustrating with the slower internet speeds.

",5.0 out of 5 stars
Felix Furtado,"

  This TV was delivered to me on 6th & on 9th Oct the installation was done. All good so far. Happy with the sound & picture quality. Most of the Apps are working fine including Netflix. However I have problems connecting to Amazon Prime. Tried several times, entered the Code from the TV to my Amazon login on my computer. I get a success message on the computer but nothing happens on the TV. Tried calling the Amazon toll free no. but no person to speak with. If someone can help me with this would be highly appreciated.Sorry for the late update. Finally a service guy came to check my TV. Sat from 10:30 until 13:30. Tried several things including some downloads and restarts with no positive result. Promised to get back to me in 2 days. I did not hear from him for 4 days. Then I got a call from Mumbai VU who asked me to do certain updates on the TV. I asked him to call back the next day as I would be near the TV. He did call the next day and finally Amazon Prime started working on 6th Nov. (27 days after the TV was delivered). But I was happy. Then 2 days later the technician who came to my office called to say hes coming to fix the problem. I told him it was already sorted. All is well so far with the TV and its a good buy for the price. Cheers.

",3.0 out of 5 stars
pjvijaya,"

  LCD is getting cheaper day by day and I thought i was about to have yet another LCD tv but this surprised me quite a lot. I also own the sony edge lit KDL-55HX800 as well as shinco 49 inch backlit LCD 4k TV.Pros :* Blacks are deep and its good.* I was expecting bleeding around the edges but it was on par with sony in terms of it and there was zero bleeding around the edges.* Smart TV features works good as advertised* NETFLIX, PRIME tv works* Sound is decent although im using a hometheatre* Weightless remote control and convenient button placementsCons :* Initial setup with phone was poor ( if we select 5ghz wifi to connect to, then it will simply freeze. Although i blame google for it)* Sound adjustment can be better. Certain external speakers dont provide bass adjustment and it would be nice if i can adjust bass through the UI.* Its been months since 10 was released and im pretty sure it supports treble. So why the delay the update ( Although this seems to be an issue with most OEMs)

",5.0 out of 5 stars
Dipak Patil,"

  it's working fine, nice product,

",5.0 out of 5 stars
santhosh d.,"

  It's too early to comment..Android being top cader on OS could improvised even better.. looking forward as future software upgradesTV is sleek and simpleOverall a good price for 40 inch models with other competitorsWill be sharing more detailed updates after usage ...As of now it's worth a buy

",4.0 out of 5 stars
Dr sanjay choudhary,"

  Best tv quality and amazon service

",5.0 out of 5 stars
rejithrr,"

  (2days usage)TV as such has everything working out of the box. Android smart it is ! with good audio (not excellent) and video quality .All streaming services app,playstore etc work as expected once you connect to internet and logins provided . Can't side load apps (i didn't find options yet ) . At this price range what you expect ;).*The biggest spoiler for VU is that Amazon handles the install services very poorly ,it took a week to get this installed (since DIY install void warranty) .At first it was Amazon app giving error to book slots,afterthat It takes 48+hrs fot site visit.*

",4.0 out of 5 stars
S Sekar,"

  Primevideo app started working only after a software upgrade by VU engineer. Netflix, youtube and hotstar are ok. Zee5 was also not working even after upgrade. After a day, update from google play store made the app work. Kodi also pre installed is still not working. Sunnxt installed from google play is ok. Hungama preinstalled is ok.

",4.0 out of 5 stars
